Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Chateau Purcari;Maluri De Prut;Gold;95;Moldova;Stefan Voda;Not Applicable;2021;Red
Chateau Purcari;Limited Edition Saperavi;Gold;95;Moldova;Stefan Voda;Not Applicable;2021;Red
Finca Sophenia;Synthesis Malbec;Gold;95;Argentina;Mendoza;Gualtallary, Tupungato;2021;Red
Paul Cluver;Seven Flags Chardonnay;Gold;95;South Africa;Elgin;Not Applicable;2021;White
Nikos Karatzas;Olakala Xinomavro-Limniona;Gold;95;Greece;Not Applicable;Not Applicable;2021;Red
Casa Ermelinda Freitas;Vinha Do Torrão Grande Escolha;Gold;95;Portugal;Peninsula de Setúbal;Not Applicable;2021;Red
Kechris Winery;Tear of the Pine;Gold;95;Greece;Retsina;Not Applicable;2021;White
Familia Zuccardi;Tito;Gold;95;Argentina;Mendoza;Paraje Altamira;2021;Red
Gota;Prunus Private Selection;Gold;95;Portugal;Dão;Not Applicable;2021;Red
San Gregorio;El Vergal;Gold;95;Spain;Calatayud;Not Applicable;2021;Red
Dafermou Winery;Yiannoudi;Gold;95;Cyprus;Larnaca;Regional Wines;2021;Red
Château Montlabert;-;Gold;95;France;Bordeaux;Saint-Emilion Grand Cru;2021;Red
Waipara West;Sauvignon Blanc;Gold;95;New Zealand;Waipara;Not Applicable;2021;White
Bodegas Finca Ferrer;Malbec;Gold;95;Argentina;Mendoza;Gualtallary, Tupungato;2021;Red
Gaffino;Cardinale Cesanese;Gold;95;Italy;Lazio;Lazio;2021;Red
Wine Thieves;Saperavi;Gold;95;Georgia;Kakheti;Not Applicable;2021;Red
Stefano Lubiana;Sasso;Gold;96;Australia;Tasmania;Not Applicable;2021;Red
Church Road;McDonald Series Merlot;Gold;95;New Zealand;Hawke's Bay;Not Applicable;2021;Red
Château D'Esclans;Les Clans;Gold;96;France;Provence;Côtes de Provence;2021;Rosé
Sons of Eden;Zephyrus;Gold;95;Australia;South Australia;Barossa;2021;Red
Bužinel;Wine Brothers Chardonnay;Gold;95;Slovenia;Primorska;Goriška Brda;2021;White
Münzenrieder Wein;Zweigelt;Gold;95;Austria;Burgenland;Neusiedlersee;2021;Red
Bartinney;Hourglass Chardonnay;Gold;95;South Africa;Stellenbosch;Banghoek;2021;White
Cecilia Wines;Pinotage;Gold;95;South Africa;Citrusdal Mountain;Not Applicable;2021;Red
Labouré-Roi;-;Gold;95;France;Burgundy;Gevrey-Chambertin;2021;Red
Bodegas Ysios;Rosé;Gold;95;Spain;Rioja;Not Applicable;2021;Rosé
Kellermeister;The Meister Shiraz;Gold;96;Australia;South Australia;Eden Valley;2021;Red
Nederburg;The Winemasters Cabernet Sauvignon;Gold;95;South Africa;Western Cape;Not Applicable;2021;Red
Matijašević Vinogradi;Sovinoa Fumé Blanc;Gold;95;Serbia;Šumadija-Great Morava;Oplenac;2021;White
Weingut Allram;Ried Gaisberg 1ötw Riesling;Gold;95;Austria;Niederösterreich;Kamptal;2021;White
Weingut Allram;Ried Renner 1 Ötw Grüner Veltliner;Gold;96;Austria;Niederösterreich;Kamptal;2021;White
Companhia Das Lezírias;1836 Grande Reserva;Gold;96;Portugal;Tejo;Not Applicable;2021;White
Hardys;Eileen Hardy Pinot Noir;Gold;96;Australia;Tasmania;Not Applicable;2021;Red
Hardys;Eileen Hardy Chardonnay;Gold;96;Australia;Tasmania;Not Applicable;2021;White
Soumah;Equilibrio Viognier;Gold;95;Australia;Victoria;Yarra Valley;2021;White
Fox Creek;Postmaster Gsm;Gold;95;Australia;South Australia;McLaren Vale;2021;Red
Terrazas De Los Andes;Origen Blend;Gold;95;Argentina;Mendoza;Paraje Altamira;2021;Red
Carska Vina Grgo Vasilj;Blatina Premium Edition;Gold;95;Bosnia and Herzegovina;Mostar;Not Applicable;2021;Red
Terra Slavonia;Apolitico Cabernet Franc;Gold;95;Croatia;Continental;Slavonija;2021;Red
Grant Burge;Nebu Cabernet-Shiraz;Gold;96;Australia;South Australia;Barossa;2021;Red
Swinney;Farvie Syrah;Gold;95;Australia;Western Australia;Frankland River;2021;Red
Centare Vineyard;Old Block Shiraz;Gold;95;Australia;Victoria;Yarra Valley;2021;Red
Chateau Petit Boyer;Vieilles Vignes;Gold;95;France;Bordeaux;Blaye Côtes de Bordeaux;2021;Red
LePlan-Vermeersch;GT-1;Gold;95;France;Rhône;Châteauneuf-du-Pape;2021;Red
